# comment
256
 12.8   7.6 134.6 1.00
 16.2   7.2 135.9 1.00
 19.2   6.9 137.2 1.00
 22.0   6.7 138.4 1.00
 24.6   6.4 139.5 1.00
 27.0   6.2 140.6 1.00
 29.4   6.0 141.6 1.00
 31.6   5.8 142.7 1.00
 33.8   5.7 143.6 1.00
 35.9   5.5 144.6 1.00
 37.9   5.4 145.5 1.00
 39.9   5.3 146.4 1.00
 41.8   5.1 147.3 1.00
 43.8   5.0 148.1 1.00
 45.6   4.9 148.9 1.00
 47.5   4.8 149.7 1.00
 49.3   4.7 150.5 1.00
 51.1   4.6 151.3 1.00
 52.9   4.4 152.1 1.00
 54.7   4.3 152.8 1.00
 56.4   4.2 153.5 1.00
 58.1   4.1 154.2 1.00
 59.9   4.0 154.9 1.00
 61.6   3.8 155.6 1.00
 63.2   3.7 156.3 1.00
 64.9   3.5 156.9 1.00
 66.6   3.4 157.6 1.00
 68.3   3.2 158.2 1.00
 69.9   3.1 158.8 1.00
 71.6   2.9 159.4 1.00
 73.2   2.8 160.0 1.00
 74.8   2.6 160.5 1.00
 76.5   2.4 161.1 1.00
 78.1   2.3 161.6 1.00
 79.7   2.1 162.1 1.00
 81.3   1.9 162.6 1.00
 82.9   1.8 163.1 1.00
 84.5   1.6 163.5 1.00
 86.1   1.4 164.0 1.00
 87.7   1.3 164.4 1.00
 89.3   1.1 164.8 1.00
 90.9   1.0 165.2 1.00
 92.5   0.8 165.6 1.00
 94.0   0.7 165.9 1.00
 95.6   0.6 166.2 1.00
 97.2   0.5 166.5 1.00
 98.7   0.4 166.8 1.00
100.3   0.3 167.1 1.00
101.8   0.2 167.3 1.00
103.4   0.2 167.5 1.00
105.0   0.1 167.7 1.00
106.5   0.1 167.9 1.00
108.0   0.2 168.0 1.00
109.6   0.2 168.2 1.00
111.1   0.3 168.2 1.00
112.6   0.4 168.3 1.00
114.2   0.5 168.4 1.00
115.7   0.7 168.4 1.00
117.2   0.9 168.4 1.00
118.7   1.2 168.3 1.00
120.2   1.4 168.3 1.00
121.7   1.8 168.2 1.00
123.2   2.2 168.1 1.00
124.7   2.6 167.9 1.00
126.2   3.1 167.8 1.00
127.7   3.6 167.6 1.00
129.1   4.2 167.3 1.00
130.6   4.8 167.1 1.00
132.1   5.5 166.8 1.00
133.5   6.3 166.5 1.00
135.0   7.1 166.2 1.00
136.4   8.0 165.8 1.00
137.8   8.9 165.4 1.00
139.3   9.9 165.0 1.00
140.7  11.0 164.5 1.00
142.1  12.1 164.1 1.00
143.5  13.1 163.6 1.00
144.9  14.2 163.1 1.00
146.3  15.3 162.5 1.00
147.7  16.4 162.0 1.00
149.0  17.5 161.4 1.00
150.4  18.6 160.8 1.00
151.7  19.7 160.1 1.00
153.1  20.8 159.5 1.00
154.4  21.9 158.8 1.00
155.7  23.0 158.1 1.00
157.0  24.1 157.4 1.00
158.3  25.2 156.6 1.00
159.6  26.3 155.9 1.00
160.9  27.5 155.1 1.00
162.2  28.6 154.3 1.00
163.4  29.7 153.5 1.00
164.7  30.8 152.7 1.00
165.9  32.0 151.9 1.00
167.2  33.1 151.0 1.00
168.4  34.2 150.2 1.00
169.6  35.3 149.3 1.00
170.8  36.5 148.4 1.00
172.0  37.6 147.6 1.00
173.2  38.7 146.7 1.00
174.4  39.9 145.8 1.00
175.5  41.0 144.9 1.00
176.7  42.1 144.0 1.00
177.8  43.2 143.0 1.00
179.0  44.4 142.1 1.00
180.1  45.5 141.2 1.00
181.2  46.6 140.3 1.00
182.3  47.8 139.3 1.00
183.4  48.9 138.4 1.00
184.5  50.0 137.4 1.00
185.6  51.1 136.5 1.00
186.6  52.3 135.6 1.00
187.7  53.4 134.6 1.00
188.7  54.5 133.7 1.00
189.8  55.7 132.7 1.00
190.8  56.8 131.8 1.00
191.8  57.9 130.9 1.00
192.9  59.0 129.9 1.00
193.9  60.2 129.0 1.00
194.9  61.3 128.0 1.00
195.9  62.4 127.1 1.00
196.8  63.6 126.2 1.00
197.8  64.7 125.2 1.00
198.8  65.8 124.3 1.00
199.8  66.9 123.4 1.00
200.7  68.1 122.5 1.00
201.7  69.2 121.6 1.00
202.6  70.3 120.6 1.00
203.5  71.5 119.7 1.00
204.5  72.6 118.8 1.00
205.4  73.7 117.9 1.00
206.3  74.8 117.0 1.00
207.2  76.0 116.1 1.00
208.1  77.1 115.2 1.00
209.0  78.2 114.3 1.00
209.9  79.4 113.4 1.00
210.8  80.5 112.5 1.00
211.7  81.6 111.6 1.00
212.5  82.8 110.8 1.00
213.4  83.9 109.9 1.00
214.2  85.1 109.0 1.00
215.1  86.2 108.1 1.00
215.9  87.4 107.2 1.00
216.8  88.5 106.4 1.00
217.6  89.6 105.5 1.00
218.4  90.8 104.6 1.00
219.2  91.9 103.8 1.00
220.0  93.1 102.9 1.00
220.8  94.3 102.0 1.00
221.6  95.4 101.2 1.00
222.4  96.6 100.3 1.00
223.2  97.8  99.4 1.00
224.0  98.9  98.6 1.00
224.8 100.1  97.7 1.00
225.5 101.3  96.9 1.00
226.3 102.4  96.0 1.00
227.0 103.6  95.1 1.00
227.8 104.8  94.3 1.00
228.5 106.0  93.4 1.00
229.2 107.2  92.6 1.00
230.0 108.4  91.7 1.00
230.7 109.6  90.9 1.00
231.4 110.8  90.0 1.00
232.1 112.0  89.2 1.00
232.8 113.2  88.3 1.00
233.4 114.4  87.4 1.00
234.1 115.7  86.6 1.00
234.8 116.9  85.7 1.00
235.4 118.1  84.9 1.00
236.1 119.4  84.0 1.00
236.7 120.6  83.1 1.00
237.4 121.9  82.3 1.00
238.0 123.1  81.4 1.00
238.6 124.4  80.6 1.00
239.2 125.6  79.7 1.00
239.8 126.9  78.8 1.00
240.4 128.2  78.0 1.00
240.9 129.5  77.1 1.00
241.5 130.7  76.3 1.00
242.1 132.0  75.4 1.00
242.6 133.3  74.5 1.00
243.1 134.6  73.7 1.00
243.6 135.9  72.8 1.00
244.2 137.3  71.9 1.00
244.7 138.6  71.1 1.00
245.1 139.9  70.2 1.00
245.6 141.2  69.3 1.00
246.1 142.6  68.5 1.00
246.5 143.9  67.6 1.00
247.0 145.3  66.7 1.00
247.4 146.6  65.9 1.00
247.8 148.0  65.0 1.00
248.2 149.4  64.1 1.00
248.6 150.7  63.3 1.00
249.0 152.1  62.4 1.00
249.4 153.5  61.6 1.00
249.7 154.9  60.7 1.00
250.0 156.3  59.8 1.00
250.4 157.7  59.0 1.00
250.7 159.2  58.1 1.00
251.0 160.6  57.3 1.00
251.3 162.0  56.4 1.00
251.5 163.4  55.6 1.00
251.8 164.9  54.7 1.00
252.0 166.3  53.9 1.00
252.2 167.8  53.1 1.00
252.4 169.3  52.2 1.00
252.6 170.7  51.4 1.00
252.8 172.2  50.6 1.00
253.0 173.7  49.8 1.00
253.1 175.2  49.0 1.00
253.2 176.7  48.2 1.00
253.3 178.2  47.4 1.00
253.4 179.7  46.7 1.00
253.5 181.2  45.9 1.00
253.6 182.8  45.2 1.00
