Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 49.33      0.37     0.37  1315689     0.00     0.00  derefine_refine_process_edge_new(tessellation_data*, double*, int, int, unsigned char*)
 22.67      0.54     0.17                             solve_linear_equations
  6.67      0.59     0.05                             InTetra
  4.00      0.62     0.03                             update_circumcircle
  2.67      0.64     0.02    36825     0.00     0.01  compute_auxmesh_volumes(tessellation_data*, double*)
  2.67      0.66     0.02                             make_a_1_to_4_flip
  2.67      0.68     0.02                             set_integers_for_pointer
  1.33      0.69     0.01   136247     0.00     0.00  insert_point_new(tessellation_data*, int, int)
  1.33      0.70     0.01    18448     0.00     0.00  init_clear_auxmesh(tessellation_data*)
  1.33      0.71     0.01    18129     0.00     0.02  ArepoMesh::subSampleCell(int, int, Vector&, float*, int)
  1.33      0.72     0.01     4164     0.00     0.10  ArepoMesh::AdvanceRayOneCellNew(Ray const&, float*, float*, int, RGBSpectrum&, RGBSpectrum&, int)
  1.33      0.73     0.01                             MY_mpz_set_si
  1.33      0.74     0.01                             compute_circumcircles
  1.33      0.75     0.01                             derefine_refine_get_triangles
  0.00      0.75     0.00    16273     0.00     0.00  TransferFunction::Lve(float const*) const
  0.00      0.75     0.00    12285     0.00     0.00  RNG::RandomUInt() const
  0.00      0.75     0.00     4069     0.00     0.00  StratifiedSample2D(float*, int, int, RNG&, bool)
  0.00      0.75     0.00     4023     0.00     0.00  LatinHypercube(float*, unsigned int, unsigned int, RNG&)
  0.00      0.75     0.00     2168     0.00     0.00  TransferFunc1D::Lve(float const*) const
  0.00      0.75     0.00     2087     0.00     0.00  make_an_edge_split_new(tessellation_data*, int, int, int, int, int*)
  0.00      0.75     0.00     2070     0.00     0.00  StratifiedSample1D(float*, int, RNG&, bool)
  0.00      0.75     0.00     2011     0.00     0.21  VoronoiIntegrator::Li(Scene const*, Renderer const*, Ray const&, Sample const*, RNG&, RGBSpectrum*, int*, int) const
  0.00      0.75     0.00     2003     0.00     0.00  BBox::IntersectP(Ray const&, float*, float*) const
  0.00      0.75     0.00     1995     0.00     0.00  Film::AddSample(CameraSample const&, RGBSpectrum const&)
  0.00      0.75     0.00     1995     0.00     0.00  OrthoCamera::GenerateRay(CameraSample const&, Ray*) const
  0.00      0.75     0.00     1988     0.00     0.00  StratifiedSampler::GetMoreSamples(Sample*, RNG&)
  0.00      0.75     0.00     1960     0.00     0.00  Sampler::ReportResults(Sample*, Ray const*, RGBSpectrum const*, int)
  0.00      0.75     0.00     1945     0.00     0.00  ArepoMesh::LocateEntryCell(Ray const&, int*)
  0.00      0.75     0.00     1913     0.00     0.00  ArepoMesh::FindNearestGasParticle(Point&, int, double*)
  0.00      0.75     0.00      256     0.00     0.00  BoxFilter::Evaluate(float, float) const
  0.00      0.75     0.00       63     0.00     0.00  MPI::Datatype::Create_contiguous(int) const
  0.00      0.75     0.00       34     0.00     0.00  ConfigSet::ReadFile(std::string)
  0.00      0.75     0.00       27     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<std::string const, std::string> const&)
  0.00      0.75     0.00       27     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >, std::pair<std::string const, std::string> const&)
  0.00      0.75     0.00       26     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      0.75     0.00       13     0.00     0.00  std::vector<float, std::allocator<float> >::_M_insert_aux(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00      0.75     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.75     0.00       11     0.00     0.00  FreeAligned(void*)
  0.00      0.75     0.00       10     0.00     0.00  TransferFunction::TransferFunction(RGBSpectrum const&)
  0.00      0.75     0.00        8     0.00     0.00  AllocAligned(unsigned long)
  0.00      0.75     0.00        7     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, Vector const&)
  0.00      0.75     0.00        6     0.00     0.00  bool ConfigSet::string_to_T<bool>(std::string const&)
  0.00      0.75     0.00        5     0.00     0.00  StratifiedSampler::~StratifiedSampler()
  0.00      0.75     0.00        5     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.00      0.75     0.00        5     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int> const&)
  0.00      0.75     0.00        5     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<std::string const, int> const&)
  0.00      0.75     0.00        5     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, int> >, std::pair<std::string const, int> const&)
  0.00      0.75     0.00        4     0.00     0.00  RendererTask::~RendererTask()
  0.00      0.75     0.00        4     0.00     0.00  Film::UpdateDisplay(int, int, int, int, float)
  0.00      0.75     0.00        4     0.00     0.00  Task::~Task()
  0.00      0.75     0.00        4     0.00     0.00  Timer::Time()
  0.00      0.75     0.00        4     0.00     0.00  Timer::Timer()
  0.00      0.75     0.00        4     0.00     0.00  float ConfigSet::string_to_T<float>(std::string const&)
  0.00      0.75     0.00        4     0.00     0.00  int ConfigSet::string_to_T<int>(std::string const&)
  0.00      0.75     0.00        4     0.00     0.00  MutexLock::~MutexLock()
  0.00      0.75     0.00        4     0.00     0.00  Transform::operator*(Transform const&) const
  0.00      0.75     0.00        3     0.00     0.00  Timer::Start()
  0.00      0.75     0.00        3     0.00     0.00  Sample::AllocateSampleMemory()
  0.00      0.75     0.00        3     0.00     0.00  BoxFilter::~BoxFilter()
  0.00      0.75     0.00        3     0.00     0.00  Sample::Duplicate(int) const
  0.00      0.75     0.00        3     0.00     0.00  std::vector<Task*, std::allocator<Task*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Task**, std::vector<Task*, std::allocator<Task*> > >, Task* const&)
  0.00      0.75     0.00        3     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator=(std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.75     0.00        2     0.00     0.00  Scale(float, float, float)
  0.00      0.75     0.00        2     0.00   215.00  RendererTask::Run()
  0.00      0.75     0.00        2     0.00     0.00  StratifiedSampler::GetSubSampler(int, int)
  0.00      0.75     0.00        2     0.00     0.00  StratifiedSampler::MaximumSampleCount()
  0.00      0.75     0.00        2     0.00     0.00  RNG::Seed(unsigned int) const
  0.00      0.75     0.00        2     0.00     0.00  Sampler::ComputeSubWindow(int, int, int*, int*, int*, int*) const
  0.00      0.75     0.00        2     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      0.75     0.00        2     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z18init_clear_auxmeshP17tessellation_data
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z26rtIsoDiskCosmoCutoutRenderv
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12RendererTask3RunEv
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN14TransferFunc1DC2EssRSt6vectorIfSaIfEERS0_I11RGBSpectrumSaIS4_EESs
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN18EmissionIntegrator14RequestSamplesEP7SamplerP6SamplePK5Scene
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4BBox5EdgesEPSt6vectorI4LineSaIS1_EE
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5Arepo4InitEPiPPPc
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5SceneC2EP12VolumeRegionP9ArepoMesh
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5TimerC2Ev
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6FilterD2Ev
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7SamplerD2Ev
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9ConfigSet8ReadFileESs
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9Matrix4x4C2EPA4_f
  0.00      0.75     0.00        1     0.00     0.00  CreateFilm(Filter*)
  0.00      0.75     0.00        1     0.00     0.00  WriteImage(std::string const&, float*, float*, int, int, int, int, int, int)
  0.00      0.75     0.00        1     0.00     0.00  startTasks(std::vector<Task*, std::allocator<Task*> > const&)
  0.00      0.75     0.00        1     0.00     0.00  Orthographic(float, float)
  0.00      0.75     0.00        1     0.00     0.00  TasksCleanup()
  0.00      0.75     0.00        1     0.00     0.00  ReadFloatFile(char const*, std::vector<float, std::allocator<float> >*)
  0.00      0.75     0.00        1     0.00     0.00  numberOfCores()
  0.00      0.75     0.00        1     0.00     0.00  CreateBoxFilter()
  0.00      0.75     0.00        1     0.00     0.00  rtTestRenderScene(std::string)
  0.00      0.75     0.00        1     0.00     0.00  waitUntilAllTasksDone()
  0.00      0.75     0.00        1     0.00     0.00  loadDiscreteColorTable(std::string const&, std::vector<float, std::allocator<float> >*)
  0.00      0.75     0.00        1     0.00     0.00  CreateStratifiedSampler(Film const*, Camera const*)
  0.00      0.75     0.00        1     0.00     0.00  CreateOrthographicCamera(Transform const&, Film*)
  0.00      0.75     0.00        1     0.00     0.00  CreateVoronoiVolumeIntegrator()
  0.00      0.75     0.00        1     0.00     0.00  Union(BBox const&, BBox const&)
